Empresa,URL atual,URL candidata,Plataforma atual,Plataforma proposta,Resultado,Detalhe,Evidência,Ação
Arcos Dorados (McDonald s),https://trabalheconosconamc.infojobs.com.br,https://corporativomc.gupy.io,Infojobs,Gupy,confirmed,confirmed_direct_ats,fonte_oficial=https://corporativomc.gupy.io/; destino_direto_confirmado,replace
Banco do Brasil,https://www.bb.com.br/pbb/pagina-inicial/sobre-nos/carreiras-no-bb,https://www.bb.com.br/pbb/pagina-inicial/sobre-nos/carreiras-no-bb,Vagas,Vagas,invalid,http_404,http=404; final=https://www.bb.com.br/pbb/pagina-inicial/sobre-nos/carreiras-no-bb; title=Erros,invalid_no_replacement
Band,https://band.jobs.recrut.ai/#openings,https://band.jobs.recrut.ai/#openings,Recrut.ai,Recrut.ai,confirmed,confirmed_direct_ats,http=200; final=https://band.jobs.recrut.ai/#openings; title=Trabalhe Conosco: Rede Bandeirantes de Comunicação,keep
Belvo,https://belvo.com/careers,https://belvo.com/careers,Lever,Site,confirmed,confirmed_career_page,fonte_oficial=https://belvo.com/careers; destino_direto_confirmado,keep
Braskem,https://epiw.fa.la1.oraclecloud.com/hcmUI/CandidateExperience/pt-BR/sites/CX_1001/requisitions,https://epiw.fa.la1.oraclecloud.com/hcmUI/CandidateExperience/pt-BR/sites/CX_1001/jobs,OracleCloud,Oracle Cloud,confirmed,confirmed_career_page,http=200; final=https://epiw.fa.la1.oraclecloud.com/hcmUI/CandidateExperience/pt-BR/sites/CX_1001/jobs; title=Braskem,replace
Braspress,https://braspress.pandape.infojobs.com.br,https://braspress.pandape.infojobs.com.br,PandaPe,PandaPé,confirmed,confirmed_direct_ats,http=200; final=https://braspress.pandape.infojobs.com.br/; title=Braspress - Trabalhe Conosco | Pandapé,keep
Camil Alimentos,https://platform.senior.com.br/hcmrs/hcm/curriculo/?tenant=camilcombr&tenantdomain=camil.com.br#!/vacancies/list,https://platform.senior.com.br/hcmrs/hcm/curriculo/?tenant=camilcombr&tenantdomain=camil.com.br#!/vacancies/list,Sênior,Senior,confirmed,confirmed_direct_ats,http=200; final=https://platform.senior.com.br/hcmrs/hcm/curriculo/?tenant=camilcombr&tenantdomain=camil.com.br#!/vacancies/list,keep
Cinépolis,https://cinepolis.pandape.infojobs.com.br,https://cinepolis.pandape.infojobs.com.br,PandaPe,PandaPé,confirmed,confirmed_direct_ats,http=200; final=https://cinepolis.pandape.infojobs.com.br/; title=CIN&#xC9;POLIS - Trabalhe Conosco | Pandapé,keep
Cobasi,https://cobasi.pandape.infojobs.com.br,https://cobasi.pandape.infojobs.com.br,InfoJobs,PandaPé,confirmed,confirmed_direct_ats,http=200; final=https://cobasi.pandape.infojobs.com.br/; title=COBASI - Trabalhe Conosco | Pandapé,keep
Coop,https://cooperativadeconsumo.pandape.infojobs.com.br,https://cooperativadeconsumo.pandape.infojobs.com.br,InfoJobs,PandaPé,confirmed,confirmed_direct_ats,http=200; final=https://cooperativadeconsumo.pandape.infojobs.com.br/; title=Coop Cooperativa de Consumo - Trabalhe Conosco | Pandapé,keep
