Status da URL,Data de Entrada,Nome da Empresa,Segmento da Empresa,Plataforma,URL
1,2026-06-05,1Doc,Saúde,Site da Empresa,https://1doc.com.br/carreiras
1,2026-02-22,2comconsulting,Serviços e Outros,Gupy,https://2comconsulting.gupy.io
1,2026-02-22,3coracoes,Serviços e Outros,Gupy,https://3coracoes.gupy.io
1,2026-02-22,3corptechnology,Tecnologia,Gupy,https://3corptechnology.gupy.io
1,2026-02-22,3cservices,Serviços e Outros,Gupy,https://3cservices.gupy.io
1,2023-02-26,3M,Indústria,Workday,https://3m.wd1.myworkdayjobs.com/Search
1,2026-02-19,3R Petroleum,Energia e Utilities,Gupy,https://3rpetroleum.gupy.io
1,2026-02-19,3tentos,Serviços e Outros,Gupy,https://3tentos.gupy.io
1,2026-02-22,4mk,Tecnologia,Gupy,https://4mk.gupy.io
1,2026-02-22,77sol,Tecnologia,Gupy,https://77sol.gupy.io
1,2026-02-19,99 (99Entrega),Logística e Mobilidade,Gupy,https://carreiras.gupy.io/99
1,2026-02-22,A3consultoria,Serviços e Outros,Gupy,https://a3consultoria.gupy.io
0,2026-07-18,A3Data,Tecnologia,Gupy,https://a3data.gupy.io
0,2026-07-18,a55,Financeiro,Gupy,https://a55.gupy.io
1,2026-02-22,Aacd,Saúde,Gupy,https://aacd.gupy.io
1,2025-01-19,AB InBev,Serviços e Outros,Greenhouse,https://job-boards.greenhouse.io/abinbev
1,2026-02-22,Abaco,Serviços e Outros,Gupy,https://abaco.gupy.io
1,2026-02-22,Abakids,Educação,Gupy,https://abakids.gupy.io
1,2026-07-18,ABB,Indústria,Site da Empresa,https://careers.abb
1,2026-07-18,Abbott,Saúde,Site da Empresa,https://www.jobs.abbott
1,2026-07-18,AbbVie,Saúde,Site da Empresa,https://careers.abbvie.com
1,2026-02-19,Accenture,Serviços e Outros,Workday,https://accenture.wd103.myworkdayjobs.com/AccentureCareers
1,2026-02-19,Accona,Serviços e Outros,Site da Empresa,https://www.acciona.com.br/trabalhe-conosco
1,2026-02-19,Accor,Serviços e Outros,Site da Empresa,https://careers.accor.com
1,2025-01-19,Acer,Serviços e Outros,SAP SuccessFactors,https://career10.successfactors.com/career?company=acerincorp
1,2025-01-19,Aché,Saúde,Gupy,https://vagasache.gupy.io
1,2026-02-19,Activision Blizzard,Serviços e Outros,Site da Empresa,https://careers.activisionblizzard.com
1,2026-05-21,Adama,Serviços e Outros,Gupy,https://adama.gupy.io
1,2026-05-21,Adecco,Serviços e Outros,Gupy,https://adecco.gupy.io
0,2026-07-18,Adecoagro,Agro e Alimentos,Gupy,https://adecoagro.gupy.io
1,2026-06-05,Adidas Brasil,Serviços e Outros,Site da Empresa,https://careers.adidas-group.com
1,2026-05-21,ADM,Serviços e Outros,Gupy,https://adm.gupy.io
1,2026-02-19,Adobe,Tecnologia,Workday,https://adobe.wd5.myworkdayjobs.com/external_experienced
1,2026-02-19,ADP,Serviços e Outros,Site da Empresa,https://jobs.adp.com
1,2026-07-18,Adyen,Financeiro,Site da Empresa,https://careers.adyen.com
1,2026-07-18,AeC,Serviços e Outros,PandaPe,https://aeccentrodecontatos.pandape.com.br
1,2026-02-20,Aegea,Serviços e Outros,Gupy,https://aegea.gupy.io
1,2026-07-18,Aegro,Agro e Alimentos,Gupy,https://aegro.gupy.io
1,2026-05-20,Aeris,Indústria,Gupy,https://aeris.gupy.io
1,2026-02-19,AES Brasil,Serviços e Outros,Gupy,https://carreiras.gupy.io/aesbrasil
1,2025-03-18,Aevo,Tecnologia,Gupy,https://carreiras.gupy.io/aevo
1,2026-02-20,Afya Educacional,Educação,Gupy,https://afya.gupy.io
1,2026-07-18,AGCO,Indústria,Site da Empresa,https://careers.agcocorp.com
0,2026-07-18,Agendor,Tecnologia,Gupy,https://agendor.gupy.io
1,2026-02-19,Agibank,Financeiro,Greenhouse,https://job-boards.greenhouse.io/agibank
1,2026-02-20,Agilize,Financeiro,Greenhouse,https://boards.greenhouse.io/agilize
1,2025-01-23,Agoda,Tecnologia,Plataforma Interna,https://careersatagoda.com/vacancies/?search&teams&locations
1,2026-02-19,Agrale,Serviços e Outros,Vagas,https://www.agrale.com.br/pt/trabalhe-conosco
1,2026-02-20,Agrária,Serviços e Outros,Gupy,https://agraria.gupy.io
1,2026-02-19,AgroGalaxy,Agro e Alimentos,Gupy,https://carreiras.gupy.io/agrogalaxy
0,2026-07-18,Agrosmart,Agro e Alimentos,Gupy,https://agrosmart.gupy.io
1,2026-02-20,Ailos Sistema,Financeiro,Gupy,https://ailos.gupy.io
1,2026-02-19,Aiqfome,Serviços e Outros,Gupy,https://carreiras.gupy.io/aiqfome
1,2026-02-19,Air France-KLM,Serviços e Outros,Site da Empresa,https://recrutement.airfrance.com
1,2025-01-19,Airbnb,Serviços e Outros,Greenhouse,https://boards.greenhouse.io/airbnb
1,2026-07-18,Airbyte,Tecnologia,Site da Empresa,https://airbyte.com/careers
1,2026-07-18,Ajinomoto,Agro e Alimentos,Gupy,https://ajinomotoabr.gupy.io
1,2026-07-18,Akamai,Tecnologia,Site da Empresa,https://akamai.com/careers
1,2026-02-19,Albert Einstein,Saúde,Manual,https://www.einstein.br/carreiras
1,2026-07-18,Alcoa,Indústria,Site da Empresa,https://www.alcoa.com/careers
1,2026-02-19,Alelo,Financeiro,InHire,https://alelo.inhire.app/vagas
1,2026-02-20,Algar Tech Br,Tecnologia,Gupy,https://algar.gupy.io
1,2026-02-19,Alibaba,Serviços e Outros,Site da Empresa,https://talent.alibaba.com
1,2025-01-19,Alice,Tecnologia,InHire,https://alice.inhire.app/vagas
1,2026-05-21,Allcare,Saúde,Gupy,https://allcare.gupy.io
1,2026-05-20,Allianz,Financeiro,Gupy,https://carreiras.gupy.io/allianz
1,2026-02-19,Alliar,Serviços e Outros,Gupy,https://carreiras.gupy.io/alliar
1,2026-02-19,Allied,Serviços e Outros,Vagas,https://allied.pandape.infojobs.com.br
1,2026-02-20,Alloha Fibra,Serviços e Outros,Gupy,https://allohafibra.gupy.io
1,2026-02-19,Allos,Serviços e Outros,Gupy,https://carreiras.gupy.io/allos
1,2026-02-19,Alpargatas,Indústria,Gupy,https://alpargatas.gupy.io
1,2026-05-20,Alphaville,Financeiro,Gupy,https://alphaville.gupy.io
1,2026-05-21,Alterdata,Tecnologia,Gupy,https://alterdata.gupy.io
1,2026-02-19,Alteryx,Tecnologia,Manual,https://www.alteryx.com/careers
